run_id,run_type,model_name,model_family,model_type,dataset_name,is_time_series,column_size,row_size,evaluation_metric,evaluation_value,duration,sql,explainability
b839dd15-4c74-4f00-9296-5aeeaa713746,training,crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_boosted_tree_regressor_4813f68a,regression,BOOSTED_TREE_REGRESSOR,ncaa_basketball.mbb_historical_teams_games,false,18,571448,mean_squared_error,76.082798235931776,360.05,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_boosted_tree_regressor_4813f68a`
                OPTIONS(model_type='BOOSTED_TREE_REGRESSOR', INPUT_LABEL_COLS=['opp_points_game'])
                AS
                (SELECT * FROM `bigquery-public-data.ncaa_basketball.mbb_historical_teams_games`
                WHERE opp_points_game IS NOT NULL)",SHAP
405b4981-1051-4bd8-829e-d3ff4784ad49,inference,crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_boosted_tree_regressor_4813f68a,regression,BOOSTED_TREE_REGRESSOR,ncaa_basketball.mbb_historical_teams_games,false,18,571448,,,5.72,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_boosted_tree_regressor_4813f68a`, (SELECT * FROM `bigquery-public-data.ncaa_basketball.mbb_historical_teams_games`))",SHAP
f983429a-992f-4022-99d3-abf8c5fd45f7,training,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_boosted_tree_regressor_6d53069e,regression,BOOSTED_TREE_REGRESSOR,thelook_ecommerce.orders,true,9,124429,mean_squared_error,0.66598726140857711,281.28,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_boosted_tree_regressor_6d53069e`
                OPTIONS(model_type='BOOSTED_TREE_REGRESSOR', INPUT_LABEL_COLS=['num_of_item'])
                AS
                (SELECT * EXCEPT(created_at, delivered_at, returned_at, shipped_at) FROM `bigquery-public-data.thelook_ecommerce.orders`
                WHERE num_of_item IS NOT NULL)",SHAP
35f89c30-29d1-4574-af97-91d412ab9607,inference,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_boosted_tree_regressor_6d53069e,regression,BOOSTED_TREE_REGRESSOR,thelook_ecommerce.orders,true,9,124429,,,0.71,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_boosted_tree_regressor_6d53069e`, (SELECT * FROM `bigquery-public-data.thelook_ecommerce.orders` WHERE delivered_at = '2021-01-08 23:11:00+00:00' AND gender = 'F'))",SHAP
54ff3f31-ad88-41ec-a5a0-c2c7da717b66,training,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_regressor_15e73d6e,regression,DNN_REGRESSOR,thelook_ecommerce.orders,true,9,124429,mean_squared_error,8.9939038187106934,781.13,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_regressor_15e73d6e`
                OPTIONS(model_type='DNN_REGRESSOR', INPUT_LABEL_COLS=['num_of_item'])
                AS
                (SELECT * EXCEPT(created_at, delivered_at, returned_at, shipped_at) FROM `bigquery-public-data.thelook_ecommerce.orders`
                WHERE num_of_item IS NOT NULL)",None
554c80e9-cae6-42d7-bbe2-3f09090f3e14,inference,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_regressor_15e73d6e,regression,DNN_REGRESSOR,thelook_ecommerce.orders,true,9,124429,,,1.04,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_regressor_15e73d6e`, (SELECT * FROM `bigquery-public-data.thelook_ecommerce.orders` WHERE delivered_at = '2021-01-08 23:11:00+00:00' AND gender = 'F'))",None
7e7328d8-916b-467f-b264-becab155fa71,training,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_linear_combined_regressor_3311f9dc,regression,DNN_LINEAR_COMBINED_REGRESSOR,thelook_ecommerce.orders,true,9,124429,mean_squared_error,7.9654397784753241,1024.61,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_linear_combined_regressor_3311f9dc`
                OPTIONS(model_type='DNN_LINEAR_COMBINED_REGRESSOR', INPUT_LABEL_COLS=['num_of_item'])
                AS
                (SELECT * EXCEPT(created_at, delivered_at, returned_at, shipped_at) FROM `bigquery-public-data.thelook_ecommerce.orders`
                WHERE num_of_item IS NOT NULL)",None
309d4ae6-964c-47fb-b077-2a02c049deeb,inference,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_linear_combined_regressor_3311f9dc,regression,DNN_LINEAR_COMBINED_REGRESSOR,thelook_ecommerce.orders,true,9,124429,,,1.16,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_dnn_linear_combined_regressor_3311f9dc`, (SELECT * FROM `bigquery-public-data.thelook_ecommerce.orders` WHERE delivered_at = '2021-01-08 23:11:00+00:00' AND gender = 'F'))",None
55d0ed13-efe3-4017-8b99-b1aa60afb3ae,training,crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_dnn_regressor_bc32c01c,regression,DNN_REGRESSOR,ncaa_basketball.mbb_historical_teams_games,false,18,571448,mean_squared_error,66.329059511943285,2032.12,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_dnn_regressor_bc32c01c`
                OPTIONS(model_type='DNN_REGRESSOR', INPUT_LABEL_COLS=['opp_points_game'])
                AS
                (SELECT * FROM `bigquery-public-data.ncaa_basketball.mbb_historical_teams_games`
                WHERE opp_points_game IS NOT NULL)",None
1f0d4cbc-da1c-4337-b6b1-b50b724207e6,inference,crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_dnn_regressor_bc32c01c,regression,DNN_REGRESSOR,ncaa_basketball.mbb_historical_teams_games,false,18,571448,,,11.43,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.opp_points_game_new_dnn_regressor_bc32c01c`, (SELECT * FROM `bigquery-public-data.ncaa_basketball.mbb_historical_teams_games`))",None
